informal_group	jncc_name	jncc_tvk	resolved_name	resolved_tvk	resolved_in_taxa
alga	Cosmarium sphagnicolum	NHMSYS0000601657	Cosmarium sphagnicola	NHMSYS0021895703	YES
bird	Acanthis cabaret	NHMSYS0021004312	Acanthis flammea cabaret	NHMSYS0021933619	YES
bird	Acanthis flammea	NHMSYS0021004317	Acanthis flammea flammea/rostrata	NHMSYS0021933624	YES
bird	Acanthis hornemanni	NHMSYS0021004332	Acanthis flammea exilipes/hornemanni	NHMSYS0021933634	YES
bird	Accipiter gentilis	NHMSYS0000530119	Astur gentilis	NHMSYS0021933489	YES
bird	Alaudala rufescens	NHMSYS0021275201	Alaudala cheleensis/rufescens/heinei	NHMSYS0021373129	YES
bird	Bubulcus ibis	NHMSYS0000530216	Ardea ibis	NHMSYS0021933544	YES
bird	Charadrius alexandrinus	NBNSYS0000000159	Anarhynchus alexandrinus	NHMSYS0021813951	YES
bird	Charadrius asiaticus	NHMSYS0000530273	Anarhynchus asiaticus	NHMSYS0021813961	YES
bird	Charadrius leschenaultii	NBNSYS0000000175	Anarhynchus leschenaultii	NHMSYS0021813976	YES
bird	Charadrius mongolus	NHMSYS0000530274	Anarhynchus atrifrons/mongolus	NHMSYS0021813971	YES
bird	Charadrius morinellus	NBNSYS0000000176	Eudromias morinellus	NBNSYS0000162769	YES
bird	Ixobrychus minutus	NHMSYS0000530414	Botaurus minutus	NHMSYS0021933554	YES
bony fish (Actinopterygii)	Cottus gobio	NHMSYS0000544660	Cottus perifretum	NHMSYS0020755076	YES
bony fish (Actinopterygii)	Gasterosteus gymnurus	NHMSYS0020755078	Gasterosteus aculeatus	NBNSYS0000188612	YES
clubmoss	Diphasiastrum complanatum	NHMSYS0000458106	Diphasiastrum alpinum x complanatum = D. x issleri	NBNSYS0000146189	YES
fern	Ceterach officinarum	NHMSYS0100001007	Asplenium ceterach	NBNSYS0000142464	YES
fern	Phyllitis scolopendrium	NBNSYS0000002039	Asplenium scolopendrium	NBNSYS0000142466	YES
flowering plant	Alopecurus borealis	NBNSYS0000002662	Alopecurus magellanicus	NBNSYS0200001716	YES
flowering plant	Anagallis arvensis	NBNSYS0000003943	Lysimachia arvensis	NHMSYS0021876307	YES
flowering plant	Anagallis arvensis subsp. arvensis	NBNSYS0000014076	Lysimachia arvensis	NHMSYS0021872677	YES
flowering plant	Anagallis arvensis subsp. foemina	NHMSYS0000455900	Lysimachia foemina	NHMSYS0021872662	YES
flowering plant	Anagallis tenella	NBNSYS0000003942	Lysimachia tenella	NHMSYS0100001991	YES
flowering plant	Anchusa arvensis	NHMSYS0000455907	Lycopsis arvensis	NBNSYS0000150919	YES
flowering plant	Apium graveolens subsp. graveolens	NHMSYS0021240644	Apium graveolens var. graveolens	NBNSYS0500000159	YES
flowering plant	Apium inundatum	NHMSYS0000455995	Helosciadium inundatum	NHMSYS0021871262	YES
flowering plant	Apium nodiflorum	NBNSYS0000003666	Helosciadium nodiflorum	NHMSYS0021872397	YES
flowering plant	Apium repens	NBNSYS0000003668	Helosciadium repens	NHMSYS0021873337	YES
flowering plant	Arabis glabra	NBNSYS0000002892	Turritis glabra	NBNSYS0000158729	YES
flowering plant	Arenaria serpyllifolia subsp. leptoclados	NHMSYS0000456053	Arenaria leptoclados	NHMSYS0000456046	YES
flowering plant	Armeria maritima	NHMSYS0021060385	Armeria maritima	NHMSYS0000456077	YES
flowering plant	Asperula cynanchica subsp. occidentalis	NBNSYS0000034394	Asperula cynanchica subsp. cynanchica var. densiflora	NHMSYS0021875432	YES
flowering plant	Aster linosyris	NBNSYS0000004435	Galatella linosyris	NHMSYS0021870527	YES
flowering plant	Aster tripolium	NBNSYS0000004422	Tripolium pannonicum	NHMSYS0021872072	YES
flowering plant	Bromus commutatus	NHMSYS0000456661	Bromus racemosus subsp. commutatus	NHMSYS0100000822	YES
flowering plant	Bromus sterilis	NBNSYS0000143226	Anisantha sterilis	NBNSYS0000002575	YES
flowering plant	Callitriche hamulata	NBNSYS0000042400	Callitriche brutia subsp. hamulata	NHMSYS0000456301	YES
flowering plant	Callitriche hamulata	NHMSYS0000456302	Callitriche brutia subsp. hamulata	NHMSYS0000456301	YES
flowering plant	Carex echinata x curta = C. x biharica	NHMSYS0001754464	Carex echinata x canescens = C. x biharica	NHMSYS0000456916	YES
flowering plant	Carex flava x viridula = C. x alsatica	NHMSYS0001754825	Carex flava x demissa = C. x alsatica	NBNSYS0000005424	YES
flowering plant	Carex lachenalii x curta = C. x helvola	NHMSYS0001754465	Carex lachenalii x canescens = C. x helvola	NHMSYS0000456923	YES
flowering plant	Carex paniculata x curta = C. x ludibunda	NHMSYS0001754466	Carex paniculata x canescens = C. x ludibunda	NHMSYS0000456926	YES
flowering plant	Carex riparia x rostrata	NBNSYS0500000381	Carex riparia x rostrata = C. x beckmanniana	NHMSYS0100000943	YES
flowering plant	Carex viridula subsp. brachyrrhyncha	NHMSYS0000456906	Carex lepidocarpa	NBNSYS0000143732	YES
flowering plant	Carex viridula subsp. oedocarpa	NHMSYS0000456908	Carex demissa	NHMSYS0000456842	YES
flowering plant	Carum verticillatum	NHMSYS0000456960	Trocdaris verticillata	NHMSYS0021870902	YES
flowering plant	Catapodium rigidum var. rigidum	NBNSYS0100002210	Catapodium rigidum subsp. rigidum	NHMSYS0021128365	YES
flowering plant	Centaurium scilloides	NHMSYS0000457036	Centaurium portense	NBNSYS0000143864	YES
flowering plant	Centunculus minimus	NBNSYS0000143890	Lysimachia minima	NHMSYS0021873662	YES
flowering plant	Chamerion angustifolium	NBNSYS0000003598	Chamaenerion angustifolium	NHMSYS0100001010	YES
flowering plant	Chenopodium bonus-henricus	NBNSYS0000003088	Blitum bonus-henricus	NHMSYS0021873182	YES
flowering plant	Chenopodium chenopodioides	NBNSYS0000003103	Oxybasis chenopodioides	NHMSYS0021669628	YES
flowering plant	Chenopodium glaucum	NBNSYS0000003104	Oxybasis glauca	NHMSYS0021669633	YES
flowering plant	Chenopodium hybridum	NBNSYS0000003101	Chenopodiastrum hybridum	NHMSYS0021353873	YES
flowering plant	Chenopodium murale	NBNSYS0000003099	Chenopodiastrum murale	NHMSYS0021873392	YES
flowering plant	Chenopodium polyspermum	NBNSYS0000003089	Lipandra polysperma	NHMSYS0021870862	YES
flowering plant	Chenopodium rubrum	NBNSYS0000003102	Oxybasis rubra	NHMSYS0021669623	YES
flowering plant	Chenopodium urbicum	NBNSYS0000003100	Oxybasis urbica	NHMSYS0021669643	YES
flowering plant	Clinopodium calamintha	NBNSYS0000004215	Clinopodium nepeta	NBNSYS0000144633	YES
flowering plant	Cochlearia officinalis	NBNSYS0000042402	Cochlearia officinalis	NHMSYS0000457398	YES
flowering plant	Coeloglossum viride	NHMSYS0000457408	Dactylorhiza viridis	NHMSYS0000457959	YES
flowering plant	Dactylorhiza ebudensis	NHMSYS0020110554	Dactylorhiza traunsteinerioides subsp. francis-drucei var. ebudensis	NHMSYS0021874827	YES
flowering plant	Dactylorhiza purpurella subsp. cambrensis	NHMSYS0020193660	Dactylorhiza purpurella var. cambrensis	NHMSYS0021875057	YES
flowering plant	Deschampsia flexuosa	NBNSYS0000002623	Avenella flexuosa	NHMSYS0021873492	YES
flowering plant	Deschampsia setacea	NHMSYS0000458051	Aristavena setacea	NHMSYS0021872392	YES
flowering plant	Dioscorea communis	NHMSYS0020823747	Tamus communis	NBNSYS0000002282	YES
flowering plant	Draba muralis	NBNSYS0000002866	Drabella muralis	NHMSYS0021872167	YES
flowering plant	Drosera rotundifolia x intermedia = D. x belezeana	NHMSYS0001754523	Drosera intermedia x rotundifolia = D. x eloisiana	NHMSYS0021873197	YES
flowering plant	Eleocharis palustris subsp. vulgaris	NBNSYS0000002398	Eleocharis palustris subsp. waltersii	NHMSYS0021874052	YES
flowering plant	Elytrigia atherica	NHMSYS0000458356	Elymus athericus	NHMSYS0000458335	YES
flowering plant	Elytrigia campestris	NHMSYS0000458357	Elymus repens subsp. arenosus	NHMSYS0000465599	YES
flowering plant	Elytrigia juncea	NBNSYS0000002597	Elymus junceiformis	NHMSYS0021870967	YES
flowering plant	Elytrigia repens	NHMSYS0100001391	Elymus repens	NHMSYS0000458346	YES
flowering plant	Epipactis youngiana	NHMSYS0000458462	Epipactis helleborine var. youngiana	NHMSYS0021875442	YES
flowering plant	Erophila verna	NBNSYS0000002867	Erophila verna	NHMSYS0000458582	YES
flowering plant	Euphorbia serrulata	NBNSYS0000039527	Euphorbia stricta	NHMSYS0100001505	YES
flowering plant	Festuca altissima	NBNSYS0000002511	Drymochloa sylvatica	NHMSYS0100001321	YES
flowering plant	Festuca arundinacea	NHMSYS0000458758	Schedonorus arundinaceus	NHMSYS0000463273	YES
flowering plant	Festuca gigantea	NHMSYS0000458771	Schedonorus giganteus	NHMSYS0000463274	YES
flowering plant	Festuca pratensis	NHMSYS0000458788	Schedonorus pratensis	NHMSYS0000463276	YES
flowering plant	Ficaria verna var. bulbifer	NHMSYS0100001604	Ficaria verna subsp. verna	NHMSYS0021240659	YES
flowering plant	Filago gallica	NBNSYS0000004406	Logfia gallica	NHMSYS0000460422	YES
flowering plant	Filago minima	NHMSYS0000458842	Logfia minima	NBNSYS0000150750	YES
flowering plant	Filago vulgaris	NBNSYS0000004403	Filago germanica	NHMSYS0000465647	YES
flowering plant	Galium mollugo subsp. erectum	NBNSYS0000004740	Galium album subsp. erectum	NHMSYS0021874707	YES
flowering plant	Galium pumilum subsp. fleurotii	NHMSYS0021240674	Galium fleurotii	NBNSYS0000014180	YES
flowering plant	Galium verum subsp. verum	NHMSYS0021240684	Galium verum var. verum	NBNSYS0100003237	YES
flowering plant	Gentianella anglica	NHMSYS0000459021	Gentianella amarella subsp. anglica	NHMSYS0021605727	YES
flowering plant	Gentianella ciliata	NBNSYS0000039919	Gentianopsis ciliata	NHMSYS0021240694	YES
flowering plant	Gentianella uliginosa	NHMSYS0000459028	Gentianella amarella subsp. occidentalis	NHMSYS0021874422	YES
flowering plant	Glaux maritima	NBNSYS0000003946	Lysimachia maritima	NHMSYS0020823763	YES
flowering plant	Gnaphalium luteoalbum	NBNSYS0000004412	Laphangium luteoalbum	NHMSYS0021870182	YES
flowering plant	Gnaphalium norvegicum	NHMSYS0000459100	Omalotheca norvegica	NHMSYS0000461173	YES
flowering plant	Gnaphalium supinum	NBNSYS0000004410	Omalotheca supina	NHMSYS0100002170	YES
flowering plant	Gnaphalium sylvaticum	NBNSYS0000004408	Omalotheca sylvatica	NHMSYS0000461174	YES
flowering plant	Helictotrichon pratense	NBNSYS0000002616	Helictochloa pratensis	NHMSYS0021873287	YES
flowering plant	Helictotrichon pubescens	NHMSYS0000459280	Avenula pubescens	NHMSYS0000456377	YES
flowering plant	Hieracium acroleucum	NHMSYS0021118707	Hieracium pseudacroleucum	NHMSYS0021653755	YES
flowering plant	Hieracium argenteum	NHMSYS0021118677	Hieracium argenteum	NHMSYS0000459340	YES
flowering plant	Hieracium caesionigrescens	NHMSYS0000459358	Hieracium lintonense	NHMSYS0021653730	YES
flowering plant	Hieracium caesitium	NHMSYS0021118683	Hieracium caesitium	NHMSYS0020442360	YES
flowering plant	Hieracium crinellum	NHMSYS0020755108	Hieracium subcrinellum	NHMSYS0021653780	YES
flowering plant	Hieracium diaphanum	NHMSYS0000459407	Hieracium breviglandulosum	NHMSYS0021870662	YES
flowering plant	Hieracium integratum	NHMSYS0000459465	Hieracium pseudintegratum	NHMSYS0021653760	YES
flowering plant	Hieracium latobrigorum	NHMSYS0000840779	Hieracium lanceolatifolium	NHMSYS0021873497	YES
flowering plant	Hieracium prolixum	NHMSYS0000459563	Hieracium benhopense	NHMSYS0021653685	YES
flowering plant	Hieracium rhomboides	NHMSYS0021118689	Hieracium rhombicum	NHMSYS0021653770	YES
flowering plant	Hieracium stenstroemii	NHMSYS0000459648	Hieracium cambrense	NHMSYS0021653690	YES
flowering plant	Hieracium triviale	NHMSYS0021118695	Hieracium neopinnatifidum	NHMSYS0021872077	YES
flowering plant	Hieracium vulgatum	NHMSYS0021118701	Hieracium triviale	NHMSYS0021870657	YES
flowering plant	Inula crithmoides	NBNSYS0000004398	Limbarda crithmoides	NHMSYS0100001945	YES
flowering plant	Juncus ambiguus	NBNSYS0000002218	Juncus ranarius	NHMSYS0000459988	YES
flowering plant	Juncus bufonius agg.	NHMSYS0000352722	Juncus bufonius	NBNSYS0100003621	YES
flowering plant	Juncus bulbosus subsp. bulbosus	NHMSYS0021128422	Juncus bulbosus subsp. bulbosus	NBNSYS0100003622	YES
flowering plant	Kobresia simpliciuscula	NHMSYS0000460031	Carex simpliciuscula	NHMSYS0100000930	YES
flowering plant	Koeleria macrantha	NBNSYS0000002607	Koeleria macrantha	NHMSYS0000460038	YES
flowering plant	Lavatera cretica	NBNSYS0000003138	Malva multiflora	NHMSYS0021873222	YES
flowering plant	Lithospermum arvense	NBNSYS0000004017	Buglossoides arvensis	NHMSYS0000456718	YES
flowering plant	Lithospermum purpureocaeruleum	NBNSYS0000004015	Aegonychon purpureocaeruleum	NHMSYS0000455618	YES
flowering plant	Meconopsis cambrica	NHMSYS0000460627	Papaver cambricum	NHMSYS0100002292	YES
flowering plant	Minuartia hybrida	NHMSYS0000460730	Sabulina tenuifolia	NHMSYS0021872947	YES
flowering plant	Minuartia rubella	NBNSYS0000003053	Sabulina rubella	NHMSYS0021605742	YES
flowering plant	Minuartia sedoides	NBNSYS0000003056	Cherleria sedoides	NBNSYS0000144262	YES
flowering plant	Minuartia stricta	NBNSYS0000003054	Sabulina stricta	NHMSYS0021872052	YES
flowering plant	Minuartia verna	NBNSYS0000003052	Sabulina verna	NHMSYS0021873242	YES
flowering plant	Myosotis stricta	NHMSYS0021605732	Myosotis stricta	NHMSYS0021873427	YES
flowering plant	Myosoton aquaticum	NBNSYS0000003028	Stellaria aquatica	NBNSYS0000157227	YES
flowering plant	Orobanche purpurea	NBNSYS0000004172	Phelipanche purpurea	NHMSYS0021870782	YES
flowering plant	Otanthus maritimus	NHMSYS0000461412	Achillea maritima	NHMSYS0021240634	YES
flowering plant	Papaver argemone	NBNSYS0000002768	Roemeria argemone	NHMSYS0000462423	YES
flowering plant	Papaver bivalve subsp. hybridum	NHMSYS0000461487	Roemeria hybrida	NBNSYS0000002773	YES
flowering plant	Papaver dubium subsp. lecoqii	NBNSYS0000002766	Papaver lecoqii	NBNSYS0000153184	YES
flowering plant	Papaver hybridum	NBNSYS0000002767	Roemeria hispida	NHMSYS0021872352	YES
flowering plant	Persicaria bistorta	NBNSYS0000003750	Bistorta officinalis	NHMSYS0000456490	YES
flowering plant	Persicaria vivipara	NHMSYS0000461615	Bistorta vivipara	NHMSYS0000456491	YES
flowering plant	Petroselinum segetum	NHMSYS0000461643	Sison segetum	NHMSYS0100002986	YES
flowering plant	Peucedanum ostruthium	NHMSYS0000461648	Imperatoria ostruthium	NHMSYS0100001813	YES
flowering plant	Picris echioides	NBNSYS0000004525	Helminthotheca echioides	NHMSYS0100001729	YES
flowering plant	Potamogeton filiformis	NBNSYS0000002145	Stuckenia filiformis	NHMSYS0021872172	YES
flowering plant	Potamogeton pectinatus	NBNSYS0000002146	Stuckenia pectinata	NHMSYS0021060372	YES
flowering plant	Potamogeton pectinatus x vaginatus = P. x bottnicus	NHMSYS0001754631	Stuckenia pectinata x vaginata = S. x bottnica	NHMSYS0021872462	YES
flowering plant	Potentilla anserina	NHMSYS0021060392	Potentilla anserina	NBNSYS0000003341	YES
flowering plant	Potentilla fruticosa	NBNSYS0000003337	Dasiphora fruticosa	NHMSYS0021873792	YES
flowering plant	Potentilla palustris	NBNSYS0000003338	Comarum palustre	NBNSYS0000144930	YES
flowering plant	Potentilla tabernaemontani	NHMSYS0000455482	Potentilla verna	NHMSYS0100002587	YES
flowering plant	Radiola linoides	NBNSYS0000003146	Linum radiola	NHMSYS0021872927	YES
flowering plant	Rorippa microphylla	NHMSYS0000462434	Nasturtium microphyllum	NHMSYS0000460932	YES
flowering plant	Rorippa nasturtium-aquaticum	NBNSYS0000002894	Nasturtium officinale	NHMSYS0000460933	YES
flowering plant	Rorippa nasturtium-aquaticum agg.	NBNSYS0000042612	Nasturtium officinale	NBNSYS0000002893	YES
flowering plant	Rosa caesia subsp. caesia	NHMSYS0000462447	Rosa caesia	NHMSYS0000462446	YES
flowering plant	Rosa caesia subsp. vosagiaca	NHMSYS0000462449	Rosa vosagiaca	NHMSYS0000462493	YES
flowering plant	Rosa obtusifolia	NBNSYS0000003404	Rosa tomentella	NBNSYS0000156024	YES
flowering plant	Ruppia cirrhosa	NHMSYS0021060369	Ruppia spiralis	NHMSYS0000463024	YES
flowering plant	Ruppia maritima	NHMSYS0021060370	Ruppia maritima	NBNSYS0000002149	YES
flowering plant	Sagina apetala subsp. apetala	NHMSYS0000463045	Sagina apetala	NBNSYS0000004655	YES
flowering plant	Sagina apetala subsp. erecta	NHMSYS0000463046	Sagina filicaulis	NHMSYS0000463048	YES
flowering plant	Salicornia nitens	NHMSYS0000463070	Salicornia emerici	NHMSYS0100002800	YES
flowering plant	Salicornia pusilla	NHMSYS0000463075	Salicornia disarticulata	NHMSYS0100002805	YES
flowering plant	Salsola kali subsp. kali	NHMSYS0000463182	Salsola kali	NBNSYS0000014348	YES
flowering plant	Saxifraga nivalis	NBNSYS0000003489	Micranthes nivalis	NHMSYS0021870612	YES
flowering plant	Saxifraga stellaris	NBNSYS0000003490	Micranthes stellaris	NHMSYS0021870622	YES
flowering plant	Sedum forsterianum	NHMSYS0000463386	Petrosedum forsterianum	NHMSYS0000461640	YES
flowering plant	Sedum rosea	NBNSYS0000003466	Rhodiola rosea	NHMSYS0100002682	YES
flowering plant	Sedum telephium	NBNSYS0000003467	Hylotelephium telephium	NHMSYS0000459840	YES
flowering plant	Seriphidium maritimum	NHMSYS0000463463	Artemisia maritima	NBNSYS0000142316	YES
flowering plant	Silene flos-cuculi	NBNSYS0000156751	Silene flos-cuculi	NHMSYS0100002969	YES
flowering plant	Sorbus avonensis	NHMSYS0021240764	Sorbus aria x porrigentiformis = S. x avonensis	NHMSYS0021873687	YES
flowering plant	Sorbus Ã— motleyi	NHMSYS0021123488	Sorbus aucuparia x leyana = S. x motleyi	NHMSYS0021873722	YES
flowering plant	Stachys officinalis	NHMSYS0000463975	Betonica officinalis	NBNSYS0000142939	YES
flowering plant	Symphytum officinale subsp. bohemicum	NHMSYS0021128533	Symphytum officinale subsp. bohemicum	NHMSYS0000464114	YES
flowering plant	Taraxacum dahlstedtii	NHMSYS0000464201	Taraxacum stenoglossum	NHMSYS0021872087	YES
flowering plant	Taraxacum xiphoideum	NHMSYS0000464348	Taraxacum clovense	NHMSYS0000464191	YES
flowering plant	Thlaspi caerulescens	NHMSYS0000464422	Noccaea caerulescens	NHMSYS0000461068	YES
flowering plant	Thlaspi perfoliatum	NBNSYS0000002843	Microthlaspi perfoliatum	NHMSYS0000460713	YES
flowering plant	Thymus polytrichus	NHMSYS0000464447	Thymus drucei	NHMSYS0000464446	YES
flowering plant	Thyselium palustre	NHMSYS0021240774	Thysselinum palustre	NHMSYS0021871017	YES
flowering plant	Trichophorum germanicum	NHMSYS0021007988	Trichophorum germanicum	NHMSYS0100003134	YES
flowering plant	Trientalis europaea	NBNSYS0000003941	Lysimachia europaea	NHMSYS0021872682	YES
flowering plant	Triglochin maritimum	NBNSYS0000002121	Triglochin maritima	NBNSYS0000158561	YES
flowering plant	Triglochin palustre	NBNSYS0000002120	Triglochin palustris	NBNSYS0000158562	YES
flowering plant	Urtica dioica subsp. galeopsifolia	NHMSYS0100003185	Urtica dioica subsp. subinermis	NHMSYS0021874632	YES
flowering plant	Utricularia intermedia	NBNSYS0000004189	Utricularia intermedia	NHMSYS0000464743	YES
flowering plant	Utricularia vulgaris	NBNSYS0000042407	Utricularia vulgaris	NHMSYS0000464750	YES
flowering plant	Valerianella locusta subsp. locusta	NHMSYS0021240784	Valerianella locusta var. locusta	NBNSYS0100005947	YES
flowering plant	Vicia hirsuta	NBNSYS0000003280	Ervilia hirsuta	NHMSYS0021870502	YES
flowering plant	Vicia parviflora	NBNSYS0000003282	Ervum gracile	NHMSYS0021870162	YES
flowering plant	Vicia sylvatica	NBNSYS0000003289	Ervilia sylvatica	NHMSYS0021870157	YES
flowering plant	Vicia tetrasperma	NHMSYS0000464865	Ervum tetraspermum	NHMSYS0100001491	YES
flowering plant	Viola canina subsp. montana	NHMSYS0000464883	Viola canina subsp. ruppii	NHMSYS0021873927	YES
flowering plant	Viola persicifolia	NHMSYS0000464895	Viola stagnina	NBNSYS0000159008	YES
flowering plant	Zannichellia palustris subsp. pedicellata	NHMSYS0021128555	Zannichellia palustris subsp. pedicellata	NHMSYS0000465218	YES
flowering plant	Zostera (Zostera) marina	NHMSYS0021060376	Zostera marina	NBNSYS0000002123	YES
flowering plant	Zostera (Zosterella) noltei	NHMSYS0021060379	Zostera noltei	NBNSYS0100006056	YES
fungus	Acremonium lichenicola	NHMSYS0001472844	Cylindromonium lichenicola	NHMSYS0021700335	YES
fungus	Antrodia ramentacea	NHMSYS0001474714	Fomitopsis ramentacea	NHMSYS0021750405	YES
fungus	Armillaria ectypa	BMSSYS0000020524	Desarmillaria ectypa	BMSSYS0000731113	YES
fungus	Arrhenia peltigerina	NHMSYS0001474910	Arrhenia peltigerina s. lat.	NHMSYS0021843341	YES
fungus	Arthopyrenia cinereopruinosa	NHMSYS0001442482	Alloarthopyrenia italica	NHMSYS0021797657	YES
